from;to;amount;
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88;0x3acef067c3a83f56bad55787b29ef621c98e6466;1023.372017;
0xe02d82b04120fc8b41d532e57ed6dcf3d95b0414;0xb89f8f1c4c6c4f8c1c63ac6af92d2061112bc604;35.3083;
0xe19ffb1bbe9383e6fba1eea532222544fccc384d;0xd78ceeaedd93171a5e71ba4f88bacf0fa4988691;1;
0x6d7f6ab475a2ca00c679ba22bb2d638547d6826e;0x474ac5cb62d7acedc9990d4daafa0c39d9478fbb;96.73;
0x87cbc48075d7aa1760ac71c41e8bc289b6a31f56;0x00503a11bb6689f7b8e3bd893ac5ea2fe26a66c5;438.67;
0xf89d7b9c864f589bbf53a82105107622b35eaa40;0x347ee79fb46c7e674d58bc14b27da4b851bf5009;21;
0x672c6b7d39dd3263968fc27e64db1616b8f6e8af;0x28c6c06298d514db089934071355e5743bf21d60;279.14;
0x51c57c991849107bd40d49f82ed25ef0464b6b2a;0x28c6c06298d514db089934071355e5743bf21d60;14;
0x898538ad127e96556b30e31914737a0fa553841a;0x28c6c06298d514db089934071355e5743bf21d60;50096.45;
0x60545d2d1430200adfa2d88bb5e1cb5880e04c4e;0x28c6c06298d514db089934071355e5743bf21d60;19;
0xfe6177878123368b7839c8b75ce4462d1ba8a059;0x28c6c06298d514db089934071355e5743bf21d60;15;
0x0487797ba1c388e29cd737a7a219e71b54ffdf06;0x28c6c06298d514db089934071355e5743bf21d60;2971.82;
0xcaf054f320b465ae203193cbf5774d862e8b7b16;0x28c6c06298d514db089934071355e5743bf21d60;7;
0x0612cb15a36804c111bf4c62df2ec2fdb65a433d;0x28c6c06298d514db089934071355e5743bf21d60;956.34;
0x8227400230120d7769d8309f27f384fd57c9e546;0x28c6c06298d514db089934071355e5743bf21d60;649.925259;
0xec859822b34dea1b5b5c934e7a518e25dce24992;0x28c6c06298d514db089934071355e5743bf21d60;1;
0xb588790860de4874e9435d6b894e0957169743eb;0x28c6c06298d514db089934071355e5743bf21d60;527;
0x458e8a045bbfd889aa01da83233af8f2d0788dd7;0x28c6c06298d514db089934071355e5743bf21d60;1099;
0x11e1e39708b077d11a531cce4d2899e43691513d;0x28c6c06298d514db089934071355e5743bf21d60;10001.923086;
0xa61ab89ce3f5042bcd7251438aea2df98225856f;0x28c6c06298d514db089934071355e5743bf21d60;206.170318;
0xa936e6720d4a40143ccfa35985f7668ee93be4ea;0x28c6c06298d514db089934071355e5743bf21d60;195;
0xd842898720033200a2c11160f4bbd4b276a1b10b;0x28c6c06298d514db089934071355e5743bf21d60;19852.36984;
0x4c0347ffc27d5517fb289b516bb0165652e75309;0x28c6c06298d514db089934071355e5743bf21d60;17600.02;
0x6eb8cbc2c453e1b57dbe09defa6284fb4a1d0f0d;0x28c6c06298d514db089934071355e5743bf21d60;159.019169;
0xa67730b6c161ffe89452b55b574ba7a3a0b3a547;0x28c6c06298d514db089934071355e5743bf21d60;197.93;
0x097a2b8207d87f70e2cf5fa568c80fe0a8a31aaa;0x28c6c06298d514db089934071355e5743bf21d60;294.641072;
0xb375bb974905fd96a84c2aa074b39f66052f0350;0x28c6c06298d514db089934071355e5743bf21d60;1111.021615;
0xca7f978f81e1859303207051145130c7e540029c;0x28c6c06298d514db089934071355e5743bf21d60;600;
0x8418c35d5be1d1f1f829890c62f3f389b2fe4acc;0x28c6c06298d514db089934071355e5743bf21d60;200;
0x829e6d2a0449cd4ad5483cf966acb5187ef44066;0x28c6c06298d514db089934071355e5743bf21d60;299.8;
0xa221586179f8241c6955a813afcfb61eb0aade66;0x28c6c06298d514db089934071355e5743bf21d60;900;
0xee814df227a76a5ca580f4ea55e2f38f5b74e739;0x28c6c06298d514db089934071355e5743bf21d60;12919.89;
0xf970aa4410ec2b8997fd2840c5f4da9377884ce3;0x28c6c06298d514db089934071355e5743bf21d60;535.676498;
0x9c70837c8a04914bdbaf7b4b0e10025a3785c81a;0x28c6c06298d514db089934071355e5743bf21d60;399.949973;
0xb931dd385272f74196485621f18858b763bb672a;0x28c6c06298d514db089934071355e5743bf21d60;5201.82;
0x3875f0b7dc8777362d9e4edc7e1853b6fe8d4e47;0x28c6c06298d514db089934071355e5743bf21d60;211.7;
0xdd0d941964d5130f7f5f494e7fda9f7c33552fbb;0x28c6c06298d514db089934071355e5743bf21d60;125;
0x5bc955bdb7c5b1c6fd19a54d9cb76a50e31684f2;0x28c6c06298d514db089934071355e5743bf21d60;4;
0x71e1aab58414cf40822cea681e225474bd18321f;0x28c6c06298d514db089934071355e5743bf21d60;990;
0xb5b2d7eeefda0715ce030179541792f6e1c23d62;0x28c6c06298d514db089934071355e5743bf21d60;1789.294255;
0xeac33cc4f0dce5db89e1d1aa023d8a538c393cf6;0x28c6c06298d514db089934071355e5743bf21d60;2536.186842;
0x7b8c1592847836e889b9ff2d0953be11f1fd4fc7;0x28c6c06298d514db089934071355e5743bf21d60;532.47547;
0x12138f8d26d814779769bf29cd1ea202def3f84c;0x28c6c06298d514db089934071355e5743bf21d60;260.342594;
0x9696f59e4d72e237be84ffd425dcad154bf96976;0x78529c4d501c4cf3d8c1f1313e134c63f7ec583d;1008.8;
0xdfd5293d8e347dfe59e90efd55b2956a1343963d;0x0638a4d64744e90dcc23bd02e3275d7f466fba34;245.75;
0x8f8377d82ab7054f138443918dd8de1e7eb13d8c;0x45963a8641997ec9e532aa068532c54eebcb9593;0;
0x0b37ec97eb072c22e031cc24834a6d7a449183d7;0x5fd24362b6f771744d9ad4161a9c057d696ee614;0;
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43;0xfcea759601e9ef83221cbe698759769b7b273983;71.763792;
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43;0xf00bae061aa10148b3b80307d24df61df0f88bb8;346.350067;
0xffa3c870c236bd055175446de486586152198a37;0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43;5000.8;
0x5c2ab5dc71ced4d3a07f048dc9c068dfd4fc4d53;0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43;80767.05;
0x5e263a4b95d5314056573857328b567524d096b7;0x19debffdba43dbc7fe1b98c7f0fe4ae4e9a126ad;20;
0x6ee2807c83dbe28634b8d0ac3bf1d9e42bb1ee6b;0x45c33aad61f0e8244a7db84a1393bdaeb34ac45b;0.51225;
0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7;0x99a58482bd75cbab83b27ec03ca68ff489b5788f;24824.33338;
0x99a58482bd75cbab83b27ec03ca68ff489b5788f;0x988cdf597ac3095868a943ff82980bb83fd291e3;24824.33338;
0x8fd4e6957a22a547d9092b86861d229df1abf807;0x6dfc34609a05bc22319fa4cce1d1e2929548c0d7;350;
